row_type,level,track,seq,name,evidence
item,8,hw,4,所有的制造设备、工装、检测和分析系统通过小批量生产验证,小批量试制总结报告
item,8,hw,5,关键材料或零部件具备稳定的供货渠道,合格供方名录与供货合同
item,8,sw,6,软件交付多个用户在实际生产中实际使用,多个行业客户生产使用证明
item,8,sw,7,软件满足实际生产的性能、稳定性、安全性等指标要求,长周期压力与稳定性测评报告
item,8,sw,8,软件的使用体验获得多个用户认可,多家用户满意度评价反馈单
level,9,,,"具备大批量产业化生产与服务条件(多次可重复),形成质量控制体系,产品质量检测合格,具备市场准入条件",
item,9,hw,1,产品的功能、性能在实际任务执行中得到验证,任务运行考核报告
item,9,hw,2,所有文件归档,档案归档交接清单
item,9,hw,3,所有的制造设备、工装、检测和分析系统准备完毕,产线验收交付报告
item,9,hw,4,产品批量生产，形成质量控制体系 (批量销售合同与发票凭证),销售合同、出库单及增值税发票
item,9,hw,5,产品合格率可控,良品率SPC分析报表
item,9,hw,6,建立售后服务计划,售后运维管理制度
item,9,sw,7,软件产品的相关文档和宣传展示素材全部完成,软件白皮书与全套操作文档
item,9,sw,8,确定软件产品价格、出库销售方式、营销方式等,产品定价规范与商业化策略文档
item,9,sw,9,软件的安装、部署、维护等技术支撑和体系完善，建立售后支持系统,运维支持体系与SLA售后规范
item,9,sw,10,用户在软件安装、操作、运行、部署、维护等体验良好,用户体验综合评估报告
item,9,sw,11,软件性能、稳定性、安全性等满足大规模应用,大规模并发与合规测评报告
